round,accuracy,elapsed_time,round_time
1,0.976875,41.97231984138489,8.301652744412422
2,0.8775,82.76216983795166,8.25794617459178
3,0.931875,124.78018641471863,8.496780060231686
4,0.961875,165.63213896751404,8.46316683292389
5,0.9825,207.49329161643982,8.732261799275875
6,0.9825,248.7316312789917,8.370320504531264
7,0.989375,290.35693550109863,8.926343221217394
8,0.99125,331.5661232471466,8.368823317810893
9,0.97875,373.5374150276184,8.422194434329867
10,0.9875,415.0957899093628,8.576738968491554
11,0.989375,456.4154555797577,8.545735720545053
12,0.9925,497.7649087905884,8.4849355481565
13,0.99375,539.0530998706818,8.293360667303205
14,0.995,580.2825791835785,8.443254308775067
15,0.995,621.448353767395,8.393219791352749
16,0.99375,663.228718996048,8.391645971685648
17,0.9875,704.9938509464264,8.949343645945191
18,0.991875,746.0051689147949,8.273278750479221
19,0.991875,787.6283526420593,8.814683843404055
20,0.991875,828.4876255989075,8.39432485960424
21,0.98875,869.4686448574066,8.227370526641607
22,0.991875,911.2269997596741,8.44509476236999
23,0.99375,952.244377374649,8.392410356551409
24,0.99125,993.6686022281647,8.387085931375623
25,0.988125,1035.171645641327,8.301542676985264
26,0.99375,1076.1276779174805,8.19549816288054
27,0.985625,1117.2091743946075,8.443250186741352
28,0.99,1157.906185388565,8.25279401987791
29,0.99125,1198.5919291973114,8.19483850337565
30,0.99125,1239.6829452514648,8.478481538593769
31,0.986875,1280.7564804553986,8.68352490849793
32,0.983125,1321.3713784217834,8.212960101664066
33,0.988125,1362.6428711414337,8.428213622421026
34,0.985,1403.802067041397,8.280018294230103
35,0.988125,1444.8144297599792,8.579423394054174
36,0.991875,1485.6814556121826,8.254163617268205
37,0.988125,1526.5336356163025,8.35894057713449
38,0.990625,1568.0872793197632,8.41008242405951
39,0.99,1609.1837854385376,8.318695683032274
40,0.993125,1650.114681482315,8.239312715828419
41,0.99,1691.5455400943756,8.50859585031867
42,0.99,1732.223227739334,8.266016282141209
43,0.990625,1773.0044045448303,8.503712536767125
44,0.99375,1814.4272136688232,8.443392001092434
45,0.99125,1855.1895551681519,8.238895177841187
46,0.990625,1896.2421946525574,8.485790403559804
47,0.99,1937.509404182434,8.498033037409186
48,0.990625,1978.6973650455475,8.287750370800495
49,0.9925,2019.740981578827,8.361519001424313
50,0.9925,2060.825216293335,8.365686187520623
