round,accuracy,elapsed_time,round_time
1,0.994375,43.78650903701782,9.03861702233553
2,0.978125,85.60919189453125,8.523312281817198
3,0.9675,127.99985647201538,8.947468532249331
4,0.981875,170.81594586372375,8.794176492840052
5,0.979375,212.85139155387878,8.674805806949735
6,0.9875,255.46933221817017,9.308293404057622
7,0.98875,298.0778453350067,8.971300981938839
8,0.986875,339.76878023147583,8.371785316616297
9,0.991875,382.703715801239,8.56726792268455
10,0.99,425.1326324939728,8.539320750162005
11,0.989375,467.43817257881165,8.498839035630226
12,0.991875,509.4388587474823,8.616761526092887
13,0.9925,550.919676065445,8.419787429273129
14,0.99125,593.0233385562897,8.522813880816102
15,0.99,635.12011551857,8.830067878589034
16,0.989375,676.9090254306793,8.453055180609226
17,0.991875,719.1138601303101,8.489049354568124
18,0.989375,760.8749556541443,8.461450448259711
19,0.98375,802.7757711410522,8.499713676050305
20,0.99125,844.9678354263306,8.66768105328083
21,0.99125,887.1693058013916,8.67870975472033
22,0.993125,929.3590836524963,8.57636121660471
23,0.99375,971.2601313591003,8.426073895767331
24,0.993125,1013.2560136318207,8.404455645009875
25,0.993125,1055.114853143692,8.352611366659403
26,0.995,1096.9426801204681,8.449074344709516
27,0.993125,1138.9497137069702,8.369054267182946
28,0.9925,1180.9821784496307,8.645168302580714
29,0.9925,1222.9541609287262,8.44977524317801
30,0.989375,1264.6018431186676,8.459541235119104
31,0.9925,1307.0117886066437,8.786193070933223
32,0.99625,1348.834927558899,8.665724279358983
33,0.9975,1390.2355847358704,8.419582361355424
34,0.994375,1432.470846414566,8.900105703622103
35,0.994375,1474.3594987392426,8.54888716340065
36,0.994375,1516.184761762619,8.56448502279818
37,0.9975,1557.7680327892303,8.5495531745255
38,0.9975,1599.60466837883,8.573814475908875
39,0.99375,1641.2488882541656,8.468162678182125
40,0.9975,1686.529091835022,9.884553773328662
41,0.996875,1730.8665730953217,10.34788784570992
42,0.995625,1772.4692673683167,8.525495355948806
43,0.9975,1815.0741500854492,8.725678723305464
44,0.99125,1856.5824913978577,8.511408319696784
45,0.9975,1899.7929196357727,9.89519521407783
46,0.994375,1942.5440835952759,8.941793562844396
47,0.98875,1984.0113792419434,8.40944816544652
48,0.996875,2026.3260617256165,8.710867919027805
49,0.993125,2068.9542829990387,8.774430893361568
50,0.99375,2110.6843135356903,8.664113223552704
