round,accuracy,elapsed_time,round_time
1,0.7985,43.93985152244568,8.760920755565166
2,0.8275,87.84301257133484,8.828706780448556
3,0.858,131.15012526512146,8.512272015213966
4,0.918,174.2274453639984,8.475543946027756
5,0.9245,217.40604400634766,8.753459880128503
6,0.942,260.80116176605225,8.738076895475388
7,0.946,304.1172728538513,8.953913822770119
8,0.9535,347.73476696014404,9.150369577109814
9,0.9625,392.0311815738678,9.141650203615427
10,0.9675,435.73747873306274,8.72069837898016
11,0.9685,479.01450657844543,8.664014145731926
12,0.9655,522.442892074585,8.893128268420696
13,0.975,565.6477041244507,8.86948673054576
14,0.975,608.8821239471436,8.724387841299176
15,0.9775,652.1792922019958,8.706950154155493
16,0.9705,695.7435655593872,8.98314723558724
17,0.976,738.5322728157043,8.531356263905764
18,0.9805,782.0718035697937,8.644122080877423
19,0.982,824.6085312366486,8.646118551492691
20,0.9835,867.5024609565735,8.60128477588296
21,0.979,910.4033427238464,8.42017493955791
22,0.9855,953.190643787384,8.505578774958849
23,0.9805,996.2619054317474,8.625057071447372
24,0.9855,1039.8436155319214,8.803244715556502
25,0.983,1082.5004396438599,8.538734612986445
26,0.983,1124.9132764339447,8.533163111656904
27,0.9815,1168.48100233078,8.81867976859212
28,0.985,1212.4982266426086,9.12956408597529
29,0.9845,1256.0259511470795,8.771687254309654
30,0.983,1299.2019174098969,8.934507567435503
31,0.9855,1342.2632718086243,8.737031776458025
32,0.987,1384.7626576423645,8.660650618374348
33,0.9835,1427.9623854160309,8.988468907773495
34,0.9875,1470.9853155612946,8.867294147610664
35,0.9865,1513.9390878677368,8.67048372514546
36,0.9875,1557.4256374835968,8.859115956351161
37,0.9835,1600.6296081542969,8.616422409191728
38,0.9865,1643.96648311615,8.56336304731667
39,0.9855,1686.4821438789368,8.676922028884292
40,0.9865,1729.5368449687958,8.612282143905759
41,0.9845,1772.1219313144684,8.579404950141907
42,0.99,1814.9605994224548,8.702159266918898
43,0.9895,1857.801090478897,8.614276971668005
44,0.986,1900.5016129016876,8.360969051718712
45,0.986,1943.6849534511566,8.901361456140876
46,0.9875,1986.7531836032867,8.57555196993053
47,0.9885,2029.285145998001,8.503867404535413
48,0.989,2072.2638444900513,8.52381557226181
49,0.991,2115.0963661670685,8.615625143051147
50,0.9905,2157.9362642765045,8.56410039961338
