round,accuracy,elapsed_time,round_time
1,0.99875,42.61341381072998,8.441191824153066
2,0.998125,84.89526414871216,8.677363557741046
3,0.993125,126.92439651489258,8.616677248850465
4,0.995,168.31182599067688,8.38509132526815
5,0.99375,210.44459652900696,8.689046582207084
6,0.989375,252.50428104400635,8.510638916864991
7,0.99375,293.8018810749054,8.287371782585979
8,0.994375,335.60565638542175,8.458201933652163
9,0.993125,379.69132709503174,8.570374412462115
10,0.994375,422.4124336242676,8.559541217982769
11,0.99625,464.1949203014374,8.446430975571275
12,0.995625,505.71174001693726,8.608300853520632
13,0.99625,548.0169763565063,8.401413671672344
14,0.996875,590.4757335186005,8.7391303088516
15,0.996875,632.004474401474,8.426334081217647
16,0.993125,673.424818277359,8.416907168924809
17,0.99625,714.9951920509338,8.507170541211963
18,0.994375,757.2862884998322,8.480678331106901
19,0.996875,799.2499511241913,8.55860741995275
20,0.996875,841.0516698360443,8.538213850930333
21,0.996875,882.3092317581177,8.368870662525296
22,0.995625,923.8946623802185,8.357454221695662
23,0.9975,965.3357305526733,8.377639815211296
24,0.9975,1006.6297242641449,8.251003550365567
25,0.998125,1048.393615245819,8.505404399707913
26,0.994375,1090.0126223564148,8.654435256496072
27,0.998125,1131.737408876419,8.45485008507967
28,0.99625,1173.7167129516602,8.502123702317476
29,0.9975,1214.8340337276459,8.485244199633598
30,0.995625,1255.9739336967468,8.452793218195438
31,0.993125,1297.6209726333618,8.403785800561309
32,0.995,1339.424813747406,8.679953640326858
33,0.99625,1381.5144662857056,8.68932612426579
34,0.999375,1423.5572369098663,8.904080072417855
35,0.996875,1465.3065423965454,8.475392630323768
36,0.996875,1507.2177789211273,8.511120149865746
37,0.998125,1549.234836101532,8.686406834051013
38,0.9975,1590.8258113861084,8.482584185898304
39,0.99125,1632.4896774291992,8.463349958881736
40,0.993125,1674.1643733978271,8.641737824305892
41,0.99375,1715.9321966171265,8.522103814408183
42,0.99875,1757.4204981327057,8.368336344137788
43,0.99875,1798.9404919147491,8.305953871458769
44,0.99625,1840.9275085926056,8.490215815603733
45,0.995,1882.6003923416138,8.425482142716646
46,0.99625,1925.1317882537842,8.679619263857603
47,0.995,1966.5408499240875,8.38311561755836
48,0.995,2008.9355614185333,8.548880908638239
49,0.9975,2050.831706762314,8.548347225412726
50,0.996875,2092.1772553920746,8.418056352064013
